21:46:10.876 [main] INFO  com.karach.xmlproject.reader.XMLReader - Country: Poland
21:46:10.883 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 299
21:46:10.883 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: weekend
21:46:10.883 [main] INFO  com.karach.xmlproject.reader.XMLReader - Country: Spain
21:46:10.884 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 800
21:46:10.884 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: pilgrimage
21:46:10.884 [main] INFO  com.karach.xmlproject.reader.XMLReader - Country: Israel
21:46:52.994 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 422
21:46:52.996 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: vacation
21:46:52.997 [main] INFO  com.karach.xmlproject.reader.XMLReader - Country: Spain
21:46:52.997 [main] INFO  com.karach.xmlproject.reader.XMLReader - Tourist Voucher ID: 639
21:46:52.997 [main] INFO  com.karach.xmlproject.reader.XMLReader - Type: excursion
